,Memory usage,Prefix-BF,Prefix-BF+Doubting d=3,Prefix-BF+Doubting d=6,Prefix-QF,Prefix-QF+Doubting d=3,Prefix-QF+Doubting d=6
0,80772,0.416108,0.0250505,0.00307006,,,
1,161472,0.167073,0.000470009,5.0001e-05,,,
2,242166,0.0683914,5.0001e-05,1.00002e-05,,,
3,322865,0.0266905,0.0,0.0,,,
4,403561,0.0114402,0.0,0.0,,,
5,484260,0.00472009,0.0,0.0,,,
6,564954,0.00181004,0.0,0.0,,,
7,645654,0.000860017,0.0,0.0,,,
8,726349,0.000290006,0.0,0.0,,,
9,807044,9.00018e-05,0.0,0.0,,,
10,887743,1.00002e-05,0.0,0.0,,,
11,968439,3.00006e-05,0.0,0.0,,,
12,1049136,0.0,0.0,0.0,,,
13,1129836,0.0,0.0,0.0,,,
14,1210531,0.0,0.0,0.0,,,
15,1291227,0.0,0.0,0.0,,,
16,1371925,0.0,0.0,0.0,,,
17,1452624,0.0,0.0,0.0,,,
18,1533319,0.0,0.0,0.0,,,
19,1614015,0.0,0.0,0.0,,,
20,1694713,0.0,0.0,0.0,,,
21,1775408,0.0,0.0,0.0,,,
22,1856108,0.0,0.0,0.0,,,
23,1936802,0.0,0.0,0.0,,,
24,2017502,0.0,0.0,0.0,,,
25,524288,,,,0.184264,0.00119002,0.000140003
26,655360,,,,0.0964019,9.00018e-05,4.00008e-05
27,786432,,,,0.049571,0.0,0.0
28,917504,,,,0.0257305,0.0,0.0
29,1048576,,,,0.0129203,0.0,0.0
30,1179648,,,,0.00661013,0.0,0.0
31,1310720,,,,0.00327007,0.0,0.0
32,1441792,,,,0.00175004,0.0,0.0
33,1572864,,,,0.000800016,0.0,0.0
34,1703936,,,,0.000310006,0.0,0.0
35,1835008,,,,0.000150003,0.0,0.0
36,1966080,,,,0.000100002,0.0,0.0
